City,Country,City Number,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Lakes Entrance,AU,2160735,-37.88,147.98,80.01,44,7,1.01
Bluff,NZ,2206939,-46.6,168.33,70.0,71,100,3.0
Vaini,TO,4032243,-21.2,-175.2,82.4,78,40,9.17
Humberto de Campos,BR,3398428,-2.6,-43.46,79.38,84,1,9.24
Saint Paul Harbor,US,5866583,57.79,-152.41,37.4,51,75,8.05
Yelat'ma,RU,468030,54.97,41.75,29.3,97,89,8.32
Yumen,CN,1528998,40.28,97.2,29.12,92,0,12.39
Nikolskoye,RU,546105,59.7,30.79,29.59,92,75,6.71
Khatanga,RU,2022572,71.97,102.5,3.58,93,100,18.23
Kozhevnikovo,RU,1502257,56.26,83.97,23.29,90,82,5.3
Cayenne,GF,3382160,4.93,-52.33,75.2,100,0,2.24
Kui Buri,TH,1152562,12.08,99.85,73.4,69,96,2.24
Rikitea,PF,4030556,-23.12,-134.97,75.97,82,65,14.32
Ketchikan,US,5554428,55.34,-131.65,38.1,100,90,11.41
Namatanai,PG,2090021,-3.67,152.43,86.22,65,64,7.78
Lakhīmpur,IN,1265242,27.95,80.77,61.11,63,89,3.22
Meulaboh,ID,1214488,4.14,96.13,77.95,86,65,3.76
Ippy,CF,238566,6.27,21.22,69.12,68,100,2.59
Port Alfred,ZA,964432,-33.59,26.89,62.29,86,24,9.35
Yenagoa,NG,2318123,4.92,6.26,75.83,94,9,3.44
San Quintín,MX,3984997,30.48,-115.95,63.0,80,0,9.89
Viking,CA,6174254,53.1,-111.77,18.21,92,100,5.82
Saldanha,ZA,3361934,-33.01,17.94,53.6,81,69,5.82
Kruisfontein,ZA,986717,-34.0,24.73,62.01,79,100,1.01
Hāflong,IN,1270543,25.18,93.03,63.95,81,0,2.44
Mar del Plata,AR,3430863,-38.0,-57.56,60.19,87,90,5.82
Naples,IT,3172394,40.83,14.25,58.32,87,40,4.7
Tessalit,ML,2449893,20.2,1.01,67.8,25,0,11.34
Manjacaze,MZ,1040938,-24.71,33.88,64.0,84,0,4.79
Wolgast,DE,2806501,54.05,13.77,48.99,94,100,1.99
Mnogovershinnyy,RU,2019935,53.94,139.92,25.23,95,32,12.71
Almaznyy,RU,582447,48.04,40.05,32.0,98,20,17.9
Carnarvon,AU,2074865,-24.87,113.63,68.0,72,90,13.87
‘Ewa Beach,US,5855051,21.32,-158.01,83.37,55,40,6.93
Campo Verde,BR,3467673,-20.42,-54.07,78.8,69,0,2.24
Faanui,PF,4034551,-16.48,-151.75,79.72,75,100,7.07
Catuday,PH,1717787,16.29,119.81,81.05,79,100,10.76
Bandiagara,ML,2460489,14.35,-3.61,71.6,40,0,4.7
Sakaiminato,JP,1853174,35.55,133.23,50.34,81,20,5.82
Mwinilunga,ZM,902620,-11.74,24.43,61.09,96,100,0.65
Cabedelo,BR,3404558,-6.98,-34.83,77.0,88,20,5.82
Mathbaria,BD,1185239,22.29,89.96,68.4,84,0,5.35
Constitución,CL,3893726,-35.33,-72.42,53.01,76,0,14.43
Arshan',RU,580862,46.27,44.22,24.8,100,0,13.42
Hohhot,CN,2036892,40.81,111.65,30.2,92,0,6.71
Xichang,CN,1789647,27.9,102.26,55.35,68,0,0.58
Noumea,NC,2139521,-22.28,166.46,89.6,59,20,12.75
Divnomorskoye,RU,566157,44.5,38.14,48.69,73,69,0.56
Zelenoborsk,RU,1485286,61.47,64.03,9.05,91,0,1.34
Hithadhoo,MV,1282256,-0.6,73.08,83.34,76,100,20.76
Marang,MY,1734715,5.21,103.21,77.0,94,40,3.36
Saskylakh,RU,2017155,71.92,114.08,4.96,92,100,15.48
Beipiao,CN,2038342,41.79,120.78,47.52,53,0,2.44
Arraial do Cabo,BR,3471451,-22.97,-42.03,73.49,92,100,1.72
Tautira,PF,4033557,-17.73,-149.15,84.2,70,40,11.41
Cape Town,ZA,3369157,-33.93,18.42,56.57,82,20,6.93
Aztec,US,5456049,36.82,-107.99,37.29,17,1,18.34
Lamar,US,4705086,33.67,-95.58,76.33,65,75,16.11
Itarema,BR,3393692,-2.92,-39.92,81.21,78,30,17.02
Bonavista,CA,5905393,48.65,-53.11,31.71,100,100,5.82
Si Sa Ket,TH,1606238,14.83,104.33,75.0,71,75,11.23
Naze,JP,1855540,28.37,129.48,76.12,69,40,20.8
Inhambane,MZ,1045114,-23.86,35.38,69.08,78,0,8.86
Ubari,LY,2219235,26.59,12.78,56.71,54,0,6.46
Kyra,RU,2021041,49.58,111.98,24.21,92,41,2.15
Barrow,US,5880054,71.29,-156.79,19.4,79,90,18.34
Dingle,PH,1714733,11.0,122.67,82.94,82,100,12.33
Puro,PH,1692364,12.48,123.38,83.1,79,25,11.77
Palmer,US,4946620,42.16,-72.33,33.76,55,1,4.7
Cidreira,BR,3466165,-30.18,-50.21,71.55,85,0,14.79
Pacific Grove,US,5380437,36.62,-121.92,56.35,71,1,3.36
Kaitangata,NZ,2208248,-46.28,169.85,64.99,56,100,1.99
Longyearbyen,SJ,2729907,78.22,15.64,39.2,80,40,21.92
Micheweni,TZ,153955,-4.97,39.83,78.1,77,0,5.06
Ixtapa,MX,4004293,20.7,-105.2,78.4,74,40,9.17
Hastings,GB,2647356,50.86,0.57,57.69,87,92,29.97
Nyurba,RU,2018735,63.28,118.33,4.86,94,100,5.84
Guilin,CN,1809498,25.28,110.29,62.6,72,90,2.24
Saint-Philippe,RE,935215,-21.36,55.77,63.72,68,75,5.82
Comodoro Rivadavia,AR,3860443,-45.87,-67.5,53.6,62,0,11.41
Laas,IT,3175096,46.62,10.7,34.95,55,5,0.96
Zhalantun,CN,2033225,48.0,122.72,34.05,80,98,6.26
Lorengau,PG,2092164,-2.02,147.27,86.0,72,89,14.5
Aksu,CN,1529660,41.12,80.26,34.7,67,35,5.61
Mombetsu,JP,2129163,44.35,143.35,48.2,49,75,5.82
Deputatsky,RU,2028164,69.3,139.9,-9.17,88,85,3.22
New Norfolk,AU,2155415,-42.78,147.06,59.0,51,75,6.93
Yangi Marg`ilon,UZ,1513491,40.43,71.72,37.4,71,100,2.24
Vadsø,NO,777073,70.07,29.75,37.4,83,90,28.86
Dunedin,NZ,2191562,-45.87,170.5,65.44,56,100,1.99
Turukhansk,RU,1488903,65.82,87.98,-14.39,89,99,5.3
Katherine,AU,2068655,-14.47,132.27,84.2,66,88,8.05
Palu,ID,1633034,-0.89,119.87,88.7,52,97,1.92
Grindavik,IS,3416888,63.84,-22.43,32.0,85,0,5.82
Río Gallegos,AR,3838859,-51.62,-69.22,53.6,30,0,24.16
Westport,US,4845585,41.14,-73.36,40.55,52,1,7.76
Butaritari,KI,2110227,3.07,172.79,81.99,66,2,5.01
Corning,US,5113760,42.14,-77.05,33.93,74,1,1.92
Nagato,JP,1899102,34.38,131.2,62.96,72,20,16.11
Chifeng,CN,2038067,42.27,118.96,46.63,56,96,6.13
Puerto Ayora,EC,3652764,-0.74,-90.35,70.0,81,72,7.0
Lahat,ID,1638775,-3.8,103.53,81.01,78,95,1.41
Qaanaaq,GL,3831208,77.48,-69.36,9.52,79,100,13.49
Raton,US,5486795,36.9,-104.44,46.4,19,1,17.22
Kenai,US,5866063,60.55,-151.26,28.15,86,75,4.7
Esim,GH,2303611,4.87,-2.24,78.04,87,15,4.63
Ayorou,NE,2447416,14.73,0.92,78.64,18,0,11.12
Rabaul,PG,2087894,-4.2,152.17,84.52,67,69,2.8
Hervey Bay,AU,2146219,-25.3,152.85,85.48,62,40,13.87
Kulhudhuffushi,MV,1337613,6.62,73.07,82.92,73,100,2.3
Payo,ID,1638775,-3.75,103.64,80.71,82,89,1.74
Lüderitz,NA,3355672,-26.65,15.16,58.35,74,0,15.9
Thompson,CA,6165406,55.74,-97.86,15.8,92,90,12.75
Saint-Augustin,CA,6137462,51.23,-58.65,31.21,88,100,7.65
Labuhan,ID,8079926,-6.88,112.21,84.09,74,87,3.49
Kavaratti,IN,1267390,10.57,72.64,82.81,76,100,6.6
Kwang Binh,VN,1582886,17.48,106.6,72.46,93,100,25.39
Rawson,AR,3839307,-43.3,-65.1,53.06,63,0,12.19
Karur,IN,1267648,10.95,78.08,73.45,90,100,5.3
Bela,IN,1276574,25.93,81.98,67.37,40,0,3.71
Kiryat Gat,IL,293842,31.61,34.76,63.5,100,0,6.53
Hargeisa,SO,57289,9.56,44.06,59.9,64,0,10.83
Emporia,US,4271086,38.4,-96.18,60.8,36,1,13.87
Talnakh,RU,1490256,69.49,88.4,-2.2,77,100,17.9
Mossamedes,AO,3347019,-15.2,12.15,69.12,78,7,6.53
Flinders,AU,6255012,-34.58,150.86,77.11,66,0,3.0
Praia da Vitória,PT,3372760,38.73,-27.07,64.24,93,75,14.14
Iraray,PH,1710554,8.99,118.05,84.9,74,36,10.18
Omboué,GA,2396853,-1.57,9.26,76.64,90,92,4.23
Fortuna,US,5563839,40.6,-124.16,54.73,62,90,14.99
Binzhou,CN,1816336,37.37,118.02,58.28,64,77,4.27
Banda Aceh,ID,1215502,5.56,95.32,80.92,77,87,4.16
San Bartolomé de Tirajana,ES,2511440,27.92,-15.57,73.18,64,0,8.05
Bulolo,PG,2098869,-7.2,146.65,81.97,63,65,4.05
Santa Rosa,PH,1687894,14.31,121.11,85.32,70,20,2.24
Nizhneudinsk,RU,1497549,54.91,99.03,15.4,91,35,1.39
Pennāgaram,IN,1259916,12.13,77.9,67.32,93,100,3.69
Yerbogachën,RU,2012956,61.28,108.01,2.05,93,84,7.11
Isangel,VU,2136825,-19.55,169.27,82.4,78,75,5.82
Yuli,NG,2317982,9.7,10.27,76.48,29,0,6.42
Kamiiso,JP,2129766,41.82,140.65,46.4,70,75,5.82
Abu Kamal,SY,174448,34.45,40.92,63.18,34,100,2.66
Los Llanos de Aridane,ES,2514651,28.66,-17.92,68.97,69,0,6.93
Kousséri,CM,2229798,12.08,15.03,77.0,23,0,12.75
San Cristobal,VE,3628473,7.77,-72.22,68.05,92,100,1.83
Touros,BR,3386213,-5.2,-35.46,77.0,88,40,5.82
Lompoc,US,5367788,34.64,-120.46,57.34,77,1,12.75
Husavik,IS,2629833,66.04,-17.34,32.0,97,90,5.82
Santa Cruz de la Sierra,BO,3904906,-17.8,-63.17,84.2,70,40,14.99
Margate,GB,2643044,51.38,1.39,57.7,81,93,4.0
Avarua,CK,4035715,-21.21,-159.78,80.6,74,28,14.99
Dudinka,RU,1507116,69.41,86.18,-2.2,77,100,17.9
Dikson,RU,1507390,73.51,80.55,24.75,98,100,8.39
Tuatapere,NZ,2180815,-46.13,167.68,70.0,71,100,3.0
Crotone,IT,2524881,39.09,17.12,61.77,73,100,4.45
Atar,MR,2381334,20.52,-13.05,78.39,17,99,6.6
Veshkayma,RU,473994,54.05,47.13,18.75,93,20,5.82
Salalah,OM,286621,17.02,54.09,71.6,56,0,1.12
Valleyview,CA,6173220,55.07,-117.29,19.4,92,0,9.17
Dongsheng,CN,1812256,39.82,109.98,43.9,63,10,5.03
Mogadishu,SO,53654,2.04,45.34,78.8,81,35,9.6
Udachny,RU,2014624,66.42,112.4,-2.2,84,90,4.47
Pochutla,MX,3517970,15.74,-96.47,81.68,74,20,4.56
Kautokeino,NO,779330,69.01,23.04,36.19,91,100,20.62
Ostrogozhsk,RU,514198,50.87,39.08,30.06,96,98,6.29
Norman Wells,CA,6089245,65.28,-126.83,-5.8,83,75,2.24
Samfya,ZM,899274,-11.36,29.56,70.0,81,100,2.89
Broome,US,5110365,42.25,-75.83,31.6,64,1,4.7
Acacías,CO,3690577,3.99,-73.76,72.63,85,100,3.4
Hobart,AU,2163355,-42.88,147.33,59.0,51,75,8.05
Tocopilla,CL,3869716,-22.09,-70.2,61.11,61,17,5.82
Yatou,CN,1786855,37.15,122.38,56.3,51,0,3.71
Labytnangi,RU,1500933,66.66,66.42,7.63,91,99,8.77
Padang,ID,1633419,-0.95,100.35,82.0,72,91,3.56
Lourdes,FR,2997395,43.1,-0.05,50.0,76,0,5.82
Maragogi,BR,3395458,-9.01,-35.22,77.49,83,1,9.89
Moerai,PF,4034188,-22.43,-151.33,77.14,79,73,8.72
Tamsweg,AT,2763929,47.13,13.81,30.65,94,0,1.01
Charters Towers,AU,2171722,-20.1,146.27,93.13,32,0,8.68
Tigil',RU,2120612,57.8,158.67,38.26,81,100,14.09
Pevek,RU,2122090,69.7,170.31,-0.44,88,0,9.6
Mehamn,NO,778707,71.04,27.85,39.2,80,0,16.11
Sakakah,SA,102527,29.97,40.21,62.6,36,0,11.41
George Town,MY,1735106,5.41,100.34,78.06,94,20,1.12
Tarnów,PL,757026,50.01,20.99,43.5,84,97,5.91
Bandarbeyla,SO,64814,9.49,50.81,73.62,78,2,14.12
Port Elizabeth,ZA,964420,-33.92,25.57,62.6,82,75,12.75
Launceston,AU,2160517,-41.45,147.17,58.89,72,90,14.99
Santiago,CL,3871336,-33.46,-70.65,64.08,48,0,13.87
Marawi,PH,1701054,8.0,124.29,82.0,77,71,5.99
Khovd,MN,1516048,48.01,91.64,27.79,85,99,1.19
Ylivieska,FI,630768,64.08,24.55,38.59,90,100,8.99
Esperance,AU,2071860,-33.87,121.9,59.0,72,40,23.04
Baykit,RU,1510689,61.67,96.37,-1.62,89,9,1.79
Ahtopol,BG,733722,42.1,27.95,48.65,81,90,4.7
Santa Isabel Rio Negro,BR,3662489,-0.41,-65.02,77.68,82,10,0.56
Mazsalaca,LV,457533,57.86,25.05,30.99,95,100,6.02
Xiangfan,CN,1790587,32.04,112.14,58.96,62,0,3.02
Lufkin,US,4708308,31.34,-94.73,77.79,65,1,10.29
Mahébourg,MU,934322,-20.41,57.7,73.4,83,75,10.29
Gushi,CN,1809222,34.64,109.58,54.1,59,1,5.99
Mbekenyera,TZ,878006,-10.0,38.98,70.36,92,99,2.93
Beringovskiy,RU,2126710,63.05,179.32,16.77,86,0,3.76
Bethel,US,5282297,41.37,-73.41,36.79,74,1,2.98
Coyhaique,CL,3894426,-45.58,-72.07,50.0,77,40,6.93
Teguise,ES,2510573,29.06,-13.56,71.6,56,0,4.7
Cooma,AU,2170577,-36.23,149.13,75.2,36,12,8.05
Aksha,RU,2028028,50.28,113.29,22.03,90,32,1.95
Kamaishi,JP,2112444,39.27,141.88,37.4,86,0,1.12
Moose Factory,CA,6078372,51.26,-80.61,29.28,92,1,10.29
Bengkulu,ID,1649150,-3.8,102.27,81.63,74,31,3.0
Rocha,UY,3440777,-34.48,-54.33,63.21,94,100,2.75
Manche,FR,2996268,49.0,-1.17,60.8,77,90,24.16
Cabo San Lucas,MX,3985710,22.89,-109.91,76.1,50,75,3.36
Shache,CN,1280037,38.42,77.24,32.27,69,100,5.1
Nago,JP,1856068,26.59,127.98,77.0,73,75,19.46
Durango,MX,4011741,24.83,-104.83,62.1,31,0,5.28
Kavieng,PG,2094342,-2.57,150.8,85.84,70,88,14.92
Tevaitoa,PF,4033375,-16.78,-151.5,81.05,72,63,7.14
Champerico,GT,3598787,14.3,-91.92,75.22,83,75,4.7
Chiusi,IT,3178754,43.02,11.95,52.7,87,0,1.66
Provideniya,RU,4031574,64.38,-173.3,19.63,87,100,5.44
Lamesa,US,5524849,32.74,-101.95,66.43,18,75,11.41
Tasiilaq,GL,3424607,65.61,-37.64,20.8,96,100,7.16
Departamento de Maldonado,UY,3441890,-34.67,-54.92,66.61,88,0,6.93
Langham,CA,6049403,52.37,-106.97,21.09,85,75,14.99
Zonguldak,TR,737021,41.25,31.83,44.49,90,37,3.24
Port Shepstone,ZA,964406,-30.74,30.45,69.76,79,77,15.93
Katsuura,JP,2112309,35.13,140.3,60.35,62,40,3.36
Henties Bay,NA,3356832,-22.12,14.28,59.0,89,7,5.19
Sokoni,TZ,149812,-6.43,39.55,77.0,94,20,6.91
Saktī,IN,1257673,22.03,82.97,68.72,75,0,3.74
Baruun-Urt,MN,2032614,46.68,113.28,27.86,90,0,6.31
Hualmay,PE,3939761,-11.1,-77.61,63.18,86,6,6.42
Karratha,AU,6620339,-20.74,116.85,86.56,25,0,8.77
Kayerkan,RU,1497337,69.35,87.76,-2.2,77,100,17.9
Moree,AU,2156927,-29.47,149.85,91.4,14,0,12.75
Alyangula,AU,2079582,-13.85,136.42,89.6,62,100,10.29
Verāval,IN,1253237,20.9,70.37,77.02,54,13,10.58
Talcahuano,CL,3870282,-36.72,-73.12,57.2,67,0,12.75
Ahipara,NZ,2194098,-35.17,173.17,68.43,46,99,5.23
College,US,5859699,64.86,-147.8,12.97,85,75,4.7
Necochea,AR,3430443,-38.55,-58.74,57.0,86,9,13.4
Egvekinot,RU,4031742,66.32,-179.17,4.98,95,93,1.34
Kieta,PG,2094027,-6.22,155.63,87.17,61,3,6.58
Waipawa,NZ,2206874,-41.41,175.52,66.09,63,0,26.4
Merauke,ID,2082539,-8.47,140.33,85.01,54,0,9.57
Pangnirtung,CA,6096551,66.15,-65.71,9.37,89,100,2.55
Caravelas,BR,3466980,-17.71,-39.25,77.36,84,100,8.61
Nanortalik,GL,3421765,60.14,-45.24,23.0,83,0,10.04
Tilichiki,RU,2120591,60.47,166.1,24.28,100,100,12.66
Shimoda,JP,1852357,34.67,138.95,60.73,51,20,2.24
Hong Kong,HK,1819729,22.29,114.16,68.76,72,100,11.01
Severo-Kuril'sk,RU,2121385,50.68,156.12,38.59,91,100,20.67
Torbay,CA,6167817,47.67,-52.73,32.7,98,90,29.97
Huarmey,PE,3939168,-10.07,-78.15,63.57,83,57,5.39
El Alto,PE,3697441,-4.27,-81.21,61.43,91,95,14.16
Ponta do Sol,PT,2264557,32.67,-17.1,67.98,88,75,9.17
Half Moon Bay,US,5354943,37.46,-122.43,55.53,81,1,8.25
Saquena,PE,3692020,-4.67,-73.52,78.12,83,100,2.35
Olinda,BR,3393536,-8.01,-34.86,80.6,74,20,5.82
Yellowknife,CA,6185377,62.46,-114.35,5.0,84,75,5.82
Kutum,SD,371745,14.2,24.67,60.15,32,0,15.19
Viedma,AR,3832899,-40.81,-63.0,53.01,65,0,6.58
Tura,IN,1254046,25.52,90.22,65.89,85,0,2.86
Upernavik,GL,3418910,72.79,-56.15,11.95,84,100,12.8
Biak,ID,1637001,-0.91,122.88,84.72,65,100,1.07
Leningradskiy,RU,2123814,69.38,178.42,5.79,81,72,4.43
Kavos,GR,256824,38.83,22.83,50.76,86,29,1.01
Myitkyina,MM,1307741,25.38,97.4,65.61,72,0,2.24
Richards Bay,ZA,962367,-28.78,32.04,70.88,81,55,5.39
Laguna,US,5364271,38.42,-121.42,58.3,48,1,0.63
Lagoa,PT,3372964,39.05,-27.98,63.91,84,100,14.7
Okhotsk,RU,2122605,59.38,143.3,12.85,89,100,18.92
Tomelloso,ES,2510392,39.15,-3.02,51.01,97,14,7.0
Tandaltī,SD,366426,13.02,31.87,75.49,19,0,17.94
Airai,TL,1651810,-8.93,125.41,77.94,46,0,3.2
Copacabana,CO,3685949,6.35,-75.51,56.8,82,40,2.24
Ranong,TH,1150965,9.97,98.63,78.17,75,99,6.78
Khandyga,RU,2022773,62.67,135.6,7.81,95,90,1.57
Visnes,NO,3131500,59.36,5.22,50.58,93,100,23.04
Nānākuli,US,5851349,21.39,-158.15,83.03,55,40,6.93
Ca Mau,VN,1586443,9.18,105.15,77.97,75,100,7.83
Hurricane,US,5540831,37.18,-113.29,53.6,31,1,5.82
Changde,CN,1791121,29.05,111.68,60.19,62,0,2.73
Rio Grande,BR,3451138,-32.03,-52.1,71.01,89,100,1.01
Madimba,TZ,878141,-10.4,40.33,73.4,94,20,4.94
Libertad,PH,1706684,8.94,125.5,84.72,68,2,4.38
Samarai,PG,2132606,-10.62,150.67,82.54,75,47,12.06
Marck,FR,2995938,50.95,1.94,56.66,86,29,11.01
Kumluca,TR,305681,36.37,30.29,60.78,58,17,9.64
Orizona,BR,3455786,-17.03,-48.3,68.29,90,100,3.98
Māngrol,IN,1263752,21.12,70.12,76.6,56,0,9.22
Ostrovnoy,RU,556268,68.05,39.51,34.52,88,100,16.17
Fairbanks,US,5861897,64.84,-147.72,12.99,85,75,4.7
Ambilobe,MG,1082243,-13.2,49.05,74.43,85,89,4.99
Chokurdakh,RU,2126123,70.63,147.92,-25.19,85,0,5.75
Poltavka,RU,1494500,54.37,71.76,24.04,97,100,15.03
Hobyo,SO,57000,5.35,48.53,78.71,79,25,12.24
Termoli,IT,6541934,41.99,14.99,54.0,91,100,4.25
Port Moresby,PG,2088122,-9.44,147.18,87.8,66,40,10.29
Campoverde,PE,3733380,-8.48,-74.81,77.0,83,75,10.29
Kuril'sk,RU,2123979,45.23,147.88,44.2,76,99,17.83
Leskovac,RS,788709,43.0,21.95,33.8,76,11,1.12
Ust'-Kut,RU,2013923,56.79,105.77,9.43,92,74,2.66
Manoel Urbano,BR,3663495,-8.84,-69.26,79.29,73,88,1.77
Cherskiy,RU,2126199,68.75,161.3,-10.3,84,78,2.1
Faya,SA,110690,18.39,42.45,57.2,76,0,1.39
Black River,JM,3491355,18.03,-77.85,81.48,78,20,8.05
Verkhnyaya Inta,RU,1487332,65.98,60.31,10.11,91,96,11.25
Port Lincoln,AU,2063036,-34.73,135.87,78.57,36,0,7.0
Mīzan Teferī,ET,330534,6.98,35.58,60.69,86,1,3.11
Knysna,ZA,988698,-34.04,23.05,57.2,93,100,6.93
Toribío,CO,3666887,2.95,-76.27,71.6,78,75,4.7
Três Lagoas,BR,3446098,-20.75,-51.68,74.88,84,79,4.14
Bambous Virieux,MU,1106677,-20.34,57.76,72.73,83,75,10.29
Carutapera,BR,3402648,-1.2,-46.02,79.86,81,55,7.29
Tigwav,HT,3718962,18.43,-72.87,82.4,65,20,9.17
Lumberton,US,4477525,34.62,-79.01,58.06,93,75,3.36
São Domingos,BR,3449293,-13.4,-46.32,76.15,69,100,2.19
Hirara,JP,1862505,24.8,125.28,77.74,78,40,10.29
Beloha,MG,1067565,-25.17,45.05,63.36,73,0,14.63
Alice Springs,AU,2077895,-23.7,133.88,96.8,25,0,25.28
The Valley,AI,3573374,18.22,-63.06,80.53,78,20,11.41
Clarence Town,AU,2171465,-32.58,151.78,80.01,69,0,10.29
Kokopo,PG,2093685,-4.35,152.26,85.71,62,59,3.13
Narsaq,GL,3421719,60.92,-46.05,15.8,66,0,13.87
Altay,CN,1529651,47.87,88.12,33.78,81,100,2.06
Saint-Louis,SN,2246451,16.33,-15.0,75.2,47,0,2.24
Warrnambool,AU,2144528,-38.38,142.48,78.01,46,51,15.01
Damietta,EG,358048,31.42,31.81,66.2,88,40,11.41
Soyo,AO,2236967,-6.13,12.37,77.5,88,100,6.29
Mokhsogollokh,RU,2019867,61.47,128.92,8.69,93,100,8.95
Lahaina,US,5849996,20.88,-156.68,80.08,61,1,11.41
Butte,US,5332191,39.65,-121.57,59.65,51,90,3.36
Ulladulla,AU,2145554,-35.35,150.47,78.44,50,0,8.05
Coos Bay,US,5720495,43.37,-124.22,52.5,76,90,18.34
Suchitoto,SV,3583090,13.94,-89.03,75.2,100,0,8.05
Guangming,CN,2034497,45.33,122.78,39.88,61,0,17.43
Pisco,PE,3932145,-13.7,-76.22,64.22,88,0,17.22
Makakilo City,US,5850554,21.35,-158.09,83.3,55,40,6.93
Oranjemund,NA,3354071,-28.55,16.43,59.77,87,70,13.24
Billings Metropolitan Area,US,5640350,45.78,-108.5,35.6,43,20,14.99
Karaton,ID,1630058,-6.34,106.1,84.2,70,20,4.7
La Ronge,CA,6050066,55.1,-105.28,18.5,73,100,10.29
Mount Isa,AU,2065594,-20.73,139.5,96.8,28,0,5.82
Liverpool,GB,2644210,53.41,-2.98,51.4,81,100,17.22
Tabou,CI,2281120,4.42,-7.35,78.01,88,4,7.49
Ust-Nera,RU,2120048,64.57,143.2,-14.49,80,48,2.35
Avilés,ES,3129135,43.55,-5.92,57.38,82,20,3.36
Wajir,KE,178443,1.75,40.06,77.56,78,0,10.16
Brae,GB,2654970,60.4,-1.35,51.8,100,100,14.99
Yulara,AU,6355222,-25.24,130.99,95.0,24,12,23.04
Acapetahua,MX,3533466,15.28,-92.7,80.6,94,75,3.36
Findochty,GB,2649433,57.7,-2.9,52.81,81,40,3.36
Bahía Blanca,AR,3865086,-38.72,-62.27,57.07,56,100,9.84
Bunbury,AU,2075432,-33.33,115.63,64.99,98,27,15.26
Rajo Khanani,PK,1167342,24.98,68.85,69.67,65,0,8.9
Livramento,BR,3663517,-3.03,-60.18,82.18,88,20,2.77
Zhigansk,RU,2012530,66.77,123.37,-1.97,92,77,5.79
Souillac,MU,933995,-20.52,57.52,73.4,83,75,10.29
Anadyr,RU,2127202,64.75,177.48,-2.2,70,0,4.47
Saint Simons,US,4220862,31.14,-81.39,65.61,94,20,5.95
Vanimo,PG,2084442,-2.67,141.3,86.59,63,87,5.95
Winchester,GB,2633858,51.07,-1.32,54.27,93,100,12.75
Sagua la Grande,CU,3541440,22.81,-80.08,77.0,88,20,9.17
Bajil,YE,77408,15.06,43.29,77.2,80,11,4.94
Quatre Cocos,MU,1106643,-20.21,57.76,72.66,83,75,10.29
